complex_name,dG_kcal_mol,status
A16_44_glutarate semialdehyde,-6.48,OK
A16_45_adipate semialdehyde,-6.74,OK
A16_46_Succinic semialdehyde,-6.28,OK
A16_47_methylmalonate semialdehyde,-6.3,OK
A16_48_alpha-aminoadipate semialdehyde,-6.61,OK
A16_49_2-Aminomuconic semialdehyde,-5.86,OK
A16_4_malonaldehyde,-5.87,OK
A16_50_10-formyltetrahydrofolate,-7.83,OK
A16_51_6R-Tetrahydrofolic acid,,OK
A16_52_Triose phosphate,-6.02,OK
A16_53_Pyridoxal phosphate,-6.72,OK
A16_54_Methanol,-5.47,OK
A16_55_Ethanol,-5.52,OK
A16_56_S-hydroxy-methylglutathione,-7.51,OK
A16_57_S-3-oxopropylglutathione,-8.14,OK
A16_58_S-(4-oxobutan-2-yl)glutathione,-8.53,OK
A16_59_4-Hydroxynonenal_glutathione,-8.81,OK
A16_5_butyraldehyde,-6.24,OK
A16_60_S-Formylglutathione,-7.37,OK
A16_6_amylaldehyde,-6.53,OK
A16_7_glutaraldehyde,-5.73,OK
A16_8_hexanal,-6.74,OK
A16_9_2-hydroxypropionaldehyde,-6.07,OK
A17-new-ALDH9A1_10_4-guanidinobutyraldehyde,-5.41,OK
A17-new-ALDH9A1_11_prop-2-enal,-5.7,OK
A17-new-ALDH9A1_12_prop-2-ynal,-5.94,OK
A17-new-ALDH9A1_13_(2E)-but-2-enal,-6.1,OK
A17-new-ALDH9A1_14_trans-2-Hexenal,-6.45,OK
A17-new-ALDH9A1_15_heptanal,-6.8,OK
A17-new-ALDH9A1_16_octanaldehyde,-7.03,OK
A17-new-ALDH9A1_17_nonanal,-7.29,OK
A17-new-ALDH9A1_18_decanal,-7.52,OK
A17-new-ALDH9A1_19_dodecanal,-7.75,OK
A17-new-ALDH9A1_1_formaldehyde,-5.22,OK
A17-new-ALDH9A1_20_Citral,-7.31,OK
A17-new-ALDH9A1_21_cis-2-Octenal,,merge_failed
A17-new-ALDH9A1_22_trans-2-Octenal,-6.96,OK
A17-new-ALDH9A1_23_4-Hydroxynonenal,-7.31,OK
A17-new-ALDH9A1_24_Tetradecanal,-8.09,OK
A17-new-ALDH9A1_25_hexadecanal,-8.95,OK
A17-new-ALDH9A1_26_trans-2-hexadecenal,-8.96,OK
A17-new-ALDH9A1_27_Benzaldehyde,-5.86,OK
A17-new-ALDH9A1_28_Phenylacetaldehyde,-6.32,OK
A17-new-ALDH9A1_29_Salicylaldehyde,-6.42,OK
A17-new-ALDH9A1_2_acetaldehyde,-5.57,OK
"A17-new-ALDH9A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.14,OK
"A17-new-ALDH9A1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.91,OK
A17-new-ALDH9A1_32_9-cis-Retinal,-9.74,OK
A17-new-ALDH9A1_33_11-cis-Retinol,-9.05,OK
A17-new-ALDH9A1_34_4-hydroxy-2-nonenal,-7.29,OK
A17-new-ALDH9A1_35_Cinnamaldehyde,-6.48,OK
A17-new-ALDH9A1_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.37,OK
A17-new-ALDH9A1_37_thiobenzaldehyde,-6.08,OK
