complex,protein,substrate,total,CC,CO,CN,SC,polar,hydrophobic,dG_kcal_mol,distance_A,carbon_num
"A17-new-ALDH9A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A17,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",88,42,35,4,0,7,42,-6.14,23.343,
"A17-new-ALDH9A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A17,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",88,42,35,4,0,7,42,-6.14,22.279,
"A17-new-ALDH9A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A17,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",88,42,35,4,0,7,42,-6.14,23.168,
"A17-new-ALDH9A1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A17,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",208,121,51,18,10,8,121,-9.91,3.034,
A17-new-ALDH9A1_32_9-cis-Retinal,A17,9-cis-Retinal,173,105,40,15,7,6,105,-9.74,3.046,
A17-new-ALDH9A1_33_11-cis-Retinol,A17,11-cis-Retinol,225,149,48,12,13,3,149,-9.05,13.912,
A17-new-ALDH9A1_34_4-hydroxy-2-nonenal,A17,4-hydroxy-2-nonenal,118,61,27,14,6,10,61,-7.29,3.652,
A17-new-ALDH9A1_34_4-hydroxy-2-nonenal,A17,4-hydroxy-2-nonenal,118,61,27,14,6,10,61,-7.29,7.308,
A17-new-ALDH9A1_35_Cinnamaldehyde,A17,Cinnamaldehyde,160,110,26,22,0,2,110,-6.48,12.269,
A17-new-ALDH9A1_36_3-(4-Isopropylphenyl)-2-methylpropanal,A17,3-(4-Isopropylphenyl)-2-methylpropanal,162,102,26,15,11,8,102,-8.37,4.294,
A17-new-ALDH9A1_37_thiobenzaldehyde,A17,thiobenzaldehyde,192,134,22,7,20,9,134,-6.08,18.716,
"A17-new-ALDH9A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A17,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",76,15,31,9,0,21,15,-6.17,26.344,
"A17-new-ALDH9A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A17,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",76,15,31,9,0,21,15,-6.17,24.907,
"A17-new-ALDH9A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A17,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",76,15,31,9,0,21,15,-6.17,27.623,
"A17-new-ALDH9A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A17,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",76,15,31,9,0,21,15,-6.17,27.845,
A17-new-ALDH9A1_39_4-nitrobenzaldehyde,A17,4-nitrobenzaldehyde,53,13,22,8,0,10,13,-5.85,18.109,
A17-new-ALDH9A1_3_propylaldehyde,A17,propylaldehyde,40,24,8,1,6,1,24,-5.91,2.798,3.0
A17-new-ALDH9A1_40_Furan-2-carbaldehyde,A17,Furan-2-carbaldehyde,199,85,50,24,4,22,85,-7.11,19.245,
A17-new-ALDH9A1_41_Indole-3-acetaldehyde,A17,Indole-3-acetaldehyde,175,102,26,32,6,9,102,-6.58,16.925,
A17-new-ALDH9A1_42_Glutamate-5-semialdehyde,A17,Glutamate-5-semialdehyde,109,35,31,14,7,22,35,-6.33,2.759,
A17-new-ALDH9A1_43_Glutamate-1-semialdehyde,A17,Glutamate-1-semialdehyde,112,39,34,11,9,19,39,-5.4,4.556,
A17-new-ALDH9A1_44_glutarate semialdehyde,A17,glutarate semialdehyde,90,35,24,5,7,19,35,-6.43,5.7,
A17-new-ALDH9A1_45_adipate semialdehyde,A17,adipate semialdehyde,101,45,32,5,6,13,45,-6.56,2.057,
A17-new-ALDH9A1_46_Succinic semialdehyde,A17,Succinic semialdehyde,104,38,42,5,6,13,38,-6.09,3.818,
A17-new-ALDH9A1_47_methylmalonate semialdehyde,A17,methylmalonate semialdehyde,135,55,54,13,0,13,55,-6.16,17.664,
A17-new-ALDH9A1_48_alpha-aminoadipate semialdehyde,A17,alpha-aminoadipate semialdehyde,104,39,18,28,0,19,39,-6.61,12.081,
A17-new-ALDH9A1_49_2-Aminomuconic semialdehyde,A17,2-Aminomuconic semialdehyde,60,22,17,11,0,10,22,-5.78,17.099,
A17-new-ALDH9A1_4_malonaldehyde,A17,malonaldehyde,14,2,4,4,0,4,2,-5.66,30.459,
A17-new-ALDH9A1_4_malonaldehyde,A17,malonaldehyde,14,2,4,4,0,4,2,-5.66,30.665,
A17-new-ALDH9A1_50_10-formyltetrahydrofolate,A17,10-formyltetrahydrofolate,0,0,0,0,0,0,0,,,
A17-new-ALDH9A1_51_6R-Tetrahydrofolic acid,A17,6R-Tetrahydrofolic acid,313,109,84,67,5,48,109,-7.83,15.668,
A17-new-ALDH9A1_51_6R-Tetrahydrofolic acid,A17,6R-Tetrahydrofolic acid,313,109,84,67,5,48,109,-7.83,5.841,
A17-new-ALDH9A1_52_Triose phosphate,A17,Triose phosphate,73,14,31,2,0,19,14,-5.69,12.693,
A17-new-ALDH9A1_52_Triose phosphate,A17,Triose phosphate,73,14,31,2,0,19,14,-5.69,13.968,
A17-new-ALDH9A1_52_Triose phosphate,A17,Triose phosphate,73,14,31,2,0,19,14,-5.69,15.042,
A17-new-ALDH9A1_53_Pyridoxal phosphate,A17,Pyridoxal phosphate,165,52,46,29,0,30,52,-6.55,12.845,
A17-new-ALDH9A1_53_Pyridoxal phosphate,A17,Pyridoxal phosphate,165,52,46,29,0,30,52,-6.55,15.466,
A17-new-ALDH9A1_53_Pyridoxal phosphate,A17,Pyridoxal phosphate,165,52,46,29,0,30,52,-6.55,15.719,
A17-new-ALDH9A1_55_Ethanol,A17,Ethanol,29,12,10,3,0,4,12,-5.7,19.067,
A17-new-ALDH9A1_56_S-hydroxy-methylglutathione,A17,S-hydroxy-methylglutathione,346,118,115,42,8,63,118,-7.8,5.792,
A17-new-ALDH9A1_56_S-hydroxy-methylglutathione,A17,S-hydroxy-methylglutathione,346,118,115,42,8,63,118,-7.8,7.683,
A17-new-ALDH9A1_56_S-hydroxy-methylglutathione,A17,S-hydroxy-methylglutathione,346,118,115,42,8,63,118,-7.8,5.017,
A17-new-ALDH9A1_57_S-3-oxopropylglutathione,A17,S-3-oxopropylglutathione,326,119,101,44,13,49,119,-7.97,6.937,
A17-new-ALDH9A1_57_S-3-oxopropylglutathione,A17,S-3-oxopropylglutathione,326,119,101,44,13,49,119,-7.97,7.693,
A17-new-ALDH9A1_57_S-3-oxopropylglutathione,A17,S-3-oxopropylglutathione,326,119,101,44,13,49,119,-7.97,3.034,
A17-new-ALDH9A1_58_S-(4-oxobutan-2-yl)glutathione,A17,S-(4-oxobutan-2-yl)glutathione,348,125,98,48,19,58,125,-8.23,3.313,
A17-new-ALDH9A1_58_S-(4-oxobutan-2-yl)glutathione,A17,S-(4-oxobutan-2-yl)glutathione,348,125,98,48,19,58,125,-8.23,3.926,
A17-new-ALDH9A1_58_S-(4-oxobutan-2-yl)glutathione,A17,S-(4-oxobutan-2-yl)glutathione,348,125,98,48,19,58,125,-8.23,3.666,
A17-new-ALDH9A1_59_4-Hydroxynonenal_glutathione,A17,4-Hydroxynonenal_glutathione,385,161,99,53,16,56,161,-9.53,6.472,
A17-new-ALDH9A1_59_4-Hydroxynonenal_glutathione,A17,4-Hydroxynonenal_glutathione,385,161,99,53,16,56,161,-9.53,10.144,
A17-new-ALDH9A1_5_butyraldehyde,A17,butyraldehyde,58,27,14,4,7,6,27,-6.17,2.669,4.0
A17-new-ALDH9A1_60_S-Formylglutathione,A17,S-Formylglutathione,349,129,96,66,12,46,129,-7.12,9.167,
A17-new-ALDH9A1_60_S-Formylglutathione,A17,S-Formylglutathione,349,129,96,66,12,46,129,-7.12,8.694,
A17-new-ALDH9A1_60_S-Formylglutathione,A17,S-Formylglutathione,349,129,96,66,12,46,129,-7.12,4.171,
A17-new-ALDH9A1_6_amylaldehyde,A17,amylaldehyde,84,45,21,4,6,8,45,-6.26,3.4,5.0
A17-new-ALDH9A1_7_glutaraldehyde,A17,glutaraldehyde,142,69,37,21,0,15,69,-6.4,13.109,
A17-new-ALDH9A1_7_glutaraldehyde,A17,glutaraldehyde,142,69,37,21,0,15,69,-6.4,11.747,
A17-new-ALDH9A1_8_hexanal,A17,hexanal,103,61,20,8,6,8,61,-6.6,2.02,6.0
A17-new-ALDH9A1_9_2-hydroxypropionaldehyde,A17,2-hydroxypropionaldehyde,57,25,20,5,0,7,25,-5.91,13.102,
A17-new-ALDH9A1_9_2-hydroxypropionaldehyde,A17,2-hydroxypropionaldehyde,57,25,20,5,0,7,25,-5.91,12.428,
A18_10_4-guanidinobutyraldehyde,A18,4-guanidinobutyraldehyde,105,23,17,35,1,29,23,-4.68,,
A18_11_prop-2-enal,A18,prop-2-enal,13,10,1,2,0,0,10,-5.45,,
A18_12_prop-2-ynal,A18,prop-2-ynal,64,26,19,9,3,7,26,-6.03,,
A18_13_(2E)-but-2-enal,A18,(2E)-but-2-enal,65,22,23,9,3,8,22,-5.91,,
A18_14_trans-2-Hexenal,A18,trans-2-Hexenal,52,23,19,4,0,6,23,-6.8,,
A18_15_heptanal,A18,heptanal,88,39,27,11,4,7,39,-6.95,,7.0
A18_16_octanaldehyde,A18,octanaldehyde,64,24,27,7,2,4,24,-7.42,,8.0
A18_17_nonanal,A18,nonanal,76,32,23,12,3,6,32,-7.56,,9.0
A18_18_decanal,A18,decanal,96,47,27,11,5,6,47,-7.58,,10.0
A18_19_dodecanal,A18,dodecanal,120,55,40,16,2,7,55,-8.53,,12.0
A18_1_formaldehyde,A18,formaldehyde,16,3,5,2,1,5,3,-5.44,,1.0
A18_20_Citral,A18,Citral,121,54,33,27,1,6,54,-8.12,,
A18_22_trans-2-Octenal,A18,trans-2-Octenal,103,35,29,27,3,9,35,-7.49,,
A18_23_4-Hydroxynonenal,A18,4-Hydroxynonenal,102,40,35,12,5,10,40,-7.24,,
A18_24_Tetradecanal,A18,Tetradecanal,148,72,46,19,3,8,72,-8.95,,14.0
A18_25_hexadecanal,A18,hexadecanal,162,88,45,21,1,7,88,-9.92,,16.0
A18_26_trans-2-hexadecenal,A18,trans-2-hexadecenal,172,69,65,28,3,7,69,-9.72,,
A18_27_Benzaldehyde,A18,Benzaldehyde,62,31,16,8,2,5,31,-7.39,,
A18_28_Phenylacetaldehyde,A18,Phenylacetaldehyde,74,28,36,3,2,5,28,-6.97,,
A18_29_Salicylaldehyde,A18,Salicylaldehyde,93,43,20,20,0,10,43,-6.8,,
A18_2_acetaldehyde,A18,acetaldehyde,34,15,11,5,2,1,15,-5.62,,2.0
"A18_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A18,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",205,122,51,30,0,2,122,-10.54,,
A18_32_9-cis-Retinal,A18,9-cis-Retinal,199,101,54,31,4,9,101,-10.68,,
A18_33_11-cis-Retinol,A18,11-cis-Retinol,185,87,59,28,4,7,87,-10.5,,
A18_34_4-hydroxy-2-nonenal,A18,4-hydroxy-2-nonenal,122,46,33,26,5,12,46,-7.57,,
A18_35_Cinnamaldehyde,A18,Cinnamaldehyde,89,47,24,17,0,1,47,-7.93,,
A18_36_3-(4-Isopropylphenyl)-2-methylpropanal,A18,3-(4-Isopropylphenyl)-2-methylpropanal,170,104,36,22,0,8,104,-8.74,,
A18_37_thiobenzaldehyde,A18,thiobenzaldehyde,99,51,23,9,10,6,51,-6.83,,
"A18_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A18,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",76,27,26,10,0,13,27,-5.73,,
A18_39_4-nitrobenzaldehyde,A18,4-nitrobenzaldehyde,120,23,41,22,5,29,23,-6.73,,
A18_3_propylaldehyde,A18,propylaldehyde,33,13,9,7,0,4,13,-5.81,,3.0
A18_40_Furan-2-carbaldehyde,A18,Furan-2-carbaldehyde,191,58,56,32,2,28,58,-8.58,,
A18_41_Indole-3-acetaldehyde,A18,Indole-3-acetaldehyde,116,56,24,26,3,7,56,-7.17,,
A18_42_Glutamate-5-semialdehyde,A18,Glutamate-5-semialdehyde,59,13,16,13,4,13,13,-6.13,,
A18_43_Glutamate-1-semialdehyde,A18,Glutamate-1-semialdehyde,95,25,41,6,2,21,25,-6.13,,
A18_44_glutarate semialdehyde,A18,glutarate semialdehyde,76,18,30,6,3,19,18,-6.49,,
A18_45_adipate semialdehyde,A18,adipate semialdehyde,88,25,32,10,3,18,25,-6.72,,
A18_46_Succinic semialdehyde,A18,Succinic semialdehyde,78,23,25,8,4,18,23,-6.25,,
A18_47_methylmalonate semialdehyde,A18,methylmalonate semialdehyde,56,17,18,8,0,13,17,-5.98,,
A18_48_alpha-aminoadipate semialdehyde,A18,alpha-aminoadipate semialdehyde,96,28,31,13,6,18,28,-6.21,,
A18_49_2-Aminomuconic semialdehyde,A18,2-Aminomuconic semialdehyde,86,28,26,14,3,15,28,-6.02,,
A18_4_malonaldehyde,A18,malonaldehyde,89,27,41,6,0,15,27,-6.12,,
A18_52_Triose phosphate,A18,Triose phosphate,122,13,50,4,3,37,13,-6.22,,
A18_53_Pyridoxal phosphate,A18,Pyridoxal phosphate,163,41,53,24,5,35,41,-7.25,,
A18_55_Ethanol,A18,Ethanol,8,6,2,0,0,0,6,-5.37,,
A18_56_S-hydroxy-methylglutathione,A18,S-hydroxy-methylglutathione,316,67,99,54,11,85,67,-6.73,,
A18_57_S-3-oxopropylglutathione,A18,S-3-oxopropylglutathione,264,60,79,41,14,70,60,-7.4,,
A18_58_S-(4-oxobutan-2-yl)glutathione,A18,S-(4-oxobutan-2-yl)glutathione,256,64,90,32,7,63,64,-7.69,,
A18_59_4-Hydroxynonenal_glutathione,A18,4-Hydroxynonenal_glutathione,268,71,91,35,8,63,71,-8.98,,
A18_5_butyraldehyde,A18,butyraldehyde,55,28,12,9,1,5,28,-6.21,,4.0
A18_60_S-Formylglutathione,A18,S-Formylglutathione,268,50,83,50,8,77,50,-6.74,,
A18_6_amylaldehyde,A18,amylaldehyde,47,18,15,10,2,2,18,-6.63,,5.0
A18_7_glutaraldehyde,A18,glutaraldehyde,79,23,27,11,4,14,23,-6.53,,
A18_8_hexanal,A18,hexanal,68,25,22,9,6,6,25,-6.77,,6.0
A18_9_2-hydroxypropionaldehyde,A18,2-hydroxypropionaldehyde,100,34,35,16,0,15,34,-6.04,,
A19_10_4-guanidinobutyraldehyde,A19,4-guanidinobutyraldehyde,81,26,17,18,1,19,26,-5.21,58.158,
A19_11_prop-2-enal,A19,prop-2-enal,50,19,12,13,0,6,19,-5.92,53.498,
A19_12_prop-2-ynal,A19,prop-2-ynal,65,32,17,10,0,6,32,-5.84,31.568,
A19_13_(2E)-but-2-enal,A19,(2E)-but-2-enal,29,20,7,2,0,0,20,-5.98,23.338,
A19_14_trans-2-Hexenal,A19,trans-2-Hexenal,54,22,19,3,5,5,22,-6.55,59.002,
A19_15_heptanal,A19,heptanal,66,29,21,6,3,7,29,-6.63,57.855,7.0
A19_16_octanaldehyde,A19,octanaldehyde,69,33,22,13,0,1,33,-6.54,32.79,8.0
A19_17_nonanal,A19,nonanal,71,45,17,7,0,2,45,-7.09,57.23,9.0
A19_19_dodecanal,A19,dodecanal,82,43,23,7,2,7,43,-7.19,57.25,12.0
A19_1_formaldehyde,A19,formaldehyde,25,8,10,2,0,5,8,-5.32,39.56,1.0
A19_20_Citral,A19,Citral,80,38,19,7,6,10,38,,57.775,
A19_22_trans-2-Octenal,A19,trans-2-Octenal,84,43,24,11,0,6,43,-6.51,22.39,
A19_23_4-Hydroxynonenal,A19,4-Hydroxynonenal,72,23,26,12,0,11,23,-6.41,37.265,
A19_23_4-Hydroxynonenal,A19,4-Hydroxynonenal,72,23,26,12,0,11,23,-6.41,39.9,
A19_24_Tetradecanal,A19,Tetradecanal,86,51,31,2,0,2,51,,21.66,14.0
A19_25_hexadecanal,A19,hexadecanal,124,63,30,16,9,6,63,-8.27,57.955,16.0
A19_26_trans-2-hexadecenal,A19,trans-2-hexadecenal,81,61,14,3,2,1,61,-7.23,60.359,
A19_27_Benzaldehyde,A19,Benzaldehyde,43,21,17,3,0,2,21,-6.02,29.085,
A19_28_Phenylacetaldehyde,A19,Phenylacetaldehyde,33,23,2,7,0,1,23,-6.46,32.653,
A19_29_Salicylaldehyde,A19,Salicylaldehyde,137,57,39,24,0,17,57,-7.25,6.062,
A19_29_Salicylaldehyde,A19,Salicylaldehyde,137,57,39,24,0,17,57,-7.25,5.489,
A19_2_acetaldehyde,A19,acetaldehyde,17,7,7,2,0,1,7,-5.39,72.479,2.0
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A19,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",31,18,6,3,0,4,18,-5.89,39.23,
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A19,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",31,18,6,3,0,4,18,-5.89,37.94,
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A19,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",31,18,6,3,0,4,18,-5.89,41.137,
"A19_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A19,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",132,75,16,38,0,3,75,,6.595,
A19_32_9-cis-Retinal,A19,9-cis-Retinal,81,55,15,9,0,2,55,-7.61,25.726,
A19_33_11-cis-Retinol,A19,11-cis-Retinol,123,73,35,13,1,1,73,-8.92,20.109,
A19_34_4-hydroxy-2-nonenal,A19,4-hydroxy-2-nonenal,49,30,16,0,0,3,30,-5.58,45.789,
A19_34_4-hydroxy-2-nonenal,A19,4-hydroxy-2-nonenal,49,30,16,0,0,3,30,-5.58,44.401,
A19_35_Cinnamaldehyde,A19,Cinnamaldehyde,123,66,40,9,4,4,66,-7.35,58.291,
A19_36_3-(4-Isopropylphenyl)-2-methylpropanal,A19,3-(4-Isopropylphenyl)-2-methylpropanal,29,16,6,0,7,0,16,-5.81,67.445,
A19_37_thiobenzaldehyde,A19,thiobenzaldehyde,58,40,12,2,3,1,40,-6.27,35.468,
"A19_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A19,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",75,26,31,4,0,14,26,-5.91,21.045,
"A19_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A19,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",75,26,31,4,0,14,26,-5.91,21.707,
"A19_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A19,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",75,26,31,4,0,14,26,-5.91,20.018,
"A19_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A19,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",75,26,31,4,0,14,26,-5.91,18.885,
A19_39_4-nitrobenzaldehyde,A19,4-nitrobenzaldehyde,46,26,14,4,0,2,26,-6.14,30.709,
A19_3_propylaldehyde,A19,propylaldehyde,14,13,1,0,0,0,13,-5.95,29.644,3.0
A19_40_Furan-2-carbaldehyde,A19,Furan-2-carbaldehyde,135,72,28,13,0,7,72,-5.46,25.809,
A19_41_Indole-3-acetaldehyde,A19,Indole-3-acetaldehyde,89,50,23,9,0,7,50,-6.77,21.678,
A19_42_Glutamate-5-semialdehyde,A19,Glutamate-5-semialdehyde,57,17,14,13,0,13,17,-5.56,15.649,
A19_43_Glutamate-1-semialdehyde,A19,Glutamate-1-semialdehyde,33,6,6,13,0,8,6,-5.7,29.468,
A19_44_glutarate semialdehyde,A19,glutarate semialdehyde,106,28,44,10,2,22,28,-6.39,57.425,
A19_45_adipate semialdehyde,A19,adipate semialdehyde,29,9,11,0,4,5,9,-5.47,65.982,
A19_46_Succinic semialdehyde,A19,Succinic semialdehyde,40,14,15,4,0,7,14,-5.65,30.014,
A19_47_methylmalonate semialdehyde,A19,methylmalonate semialdehyde,41,16,18,3,0,4,16,-5.77,22.038,
A19_48_alpha-aminoadipate semialdehyde,A19,alpha-aminoadipate semialdehyde,35,9,10,9,0,7,9,-5.52,27.887,
A19_49_2-Aminomuconic semialdehyde,A19,2-Aminomuconic semialdehyde,122,40,41,22,0,19,40,-6.22,33.333,
A19_4_malonaldehyde,A19,malonaldehyde,47,19,19,1,0,8,19,-5.35,22.305,
A19_4_malonaldehyde,A19,malonaldehyde,47,19,19,1,0,8,19,-5.35,21.882,
A19_50_10-formyltetrahydrofolate,A19,10-formyltetrahydrofolate,134,30,39,27,0,38,30,-5.47,16.005,
A19_50_10-formyltetrahydrofolate,A19,10-formyltetrahydrofolate,134,30,39,27,0,38,30,-5.47,13.806,
A19_50_10-formyltetrahydrofolate,A19,10-formyltetrahydrofolate,134,30,39,27,0,38,30,-5.47,19.933,
A19_51_6R-Tetrahydrofolic acid,A19,6R-Tetrahydrofolic acid,76,44,12,10,4,6,44,-6.31,51.397,
A19_51_6R-Tetrahydrofolic acid,A19,6R-Tetrahydrofolic acid,76,44,12,10,4,6,44,-6.31,60.775,
A19_52_Triose phosphate,A19,Triose phosphate,63,3,25,0,2,26,3,-6.3,4.955,
A19_52_Triose phosphate,A19,Triose phosphate,63,3,25,0,2,26,3,-6.3,5.072,
A19_52_Triose phosphate,A19,Triose phosphate,63,3,25,0,2,26,3,-6.3,4.127,
A19_53_Pyridoxal phosphate,A19,Pyridoxal phosphate,155,56,47,21,4,24,56,-6.8,15.34,
A19_53_Pyridoxal phosphate,A19,Pyridoxal phosphate,155,56,47,21,4,24,56,-6.8,12.4,
A19_53_Pyridoxal phosphate,A19,Pyridoxal phosphate,155,56,47,21,4,24,56,-6.8,14.058,
A19_54_Methanol,A19,Methanol,39,12,16,3,0,8,12,-5.44,59.005,
A19_56_S-hydroxy-methylglutathione,A19,S-hydroxy-methylglutathione,109,30,42,12,1,24,30,-6.07,28.996,
A19_56_S-hydroxy-methylglutathione,A19,S-hydroxy-methylglutathione,109,30,42,12,1,24,30,-6.07,25.529,
A19_56_S-hydroxy-methylglutathione,A19,S-hydroxy-methylglutathione,109,30,42,12,1,24,30,-6.07,25.128,
A19_57_S-3-oxopropylglutathione,A19,S-3-oxopropylglutathione,139,35,50,18,7,29,35,-6.56,22.762,
A19_57_S-3-oxopropylglutathione,A19,S-3-oxopropylglutathione,139,35,50,18,7,29,35,-6.56,20.274,
A19_57_S-3-oxopropylglutathione,A19,S-3-oxopropylglutathione,139,35,50,18,7,29,35,-6.56,22.255,
A19_58_S-(4-oxobutan-2-yl)glutathione,A19,S-(4-oxobutan-2-yl)glutathione,322,90,99,52,10,71,90,-7.46,57.764,
A19_58_S-(4-oxobutan-2-yl)glutathione,A19,S-(4-oxobutan-2-yl)glutathione,322,90,99,52,10,71,90,-7.46,59.559,
A19_58_S-(4-oxobutan-2-yl)glutathione,A19,S-(4-oxobutan-2-yl)glutathione,322,90,99,52,10,71,90,-7.46,64.011,
A19_59_4-Hydroxynonenal_glutathione,A19,4-Hydroxynonenal_glutathione,143,49,51,17,4,22,49,-7.33,64.095,
A19_59_4-Hydroxynonenal_glutathione,A19,4-Hydroxynonenal_glutathione,143,49,51,17,4,22,49,-7.33,64.632,
A19_5_butyraldehyde,A19,butyraldehyde,30,16,4,7,0,3,16,-5.78,33.062,4.0
A19_60_S-Formylglutathione,A19,S-Formylglutathione,94,30,29,14,5,16,30,-6.34,63.795,
A19_60_S-Formylglutathione,A19,S-Formylglutathione,94,30,29,14,5,16,30,-6.34,64.792,
A19_60_S-Formylglutathione,A19,S-Formylglutathione,94,30,29,14,5,16,30,-6.34,65.714,
A19_6_amylaldehyde,A19,amylaldehyde,31,15,14,1,0,1,15,-5.77,28.021,5.0
A19_7_glutaraldehyde,A19,glutaraldehyde,37,17,15,2,0,3,17,-5.67,27.461,
A19_7_glutaraldehyde,A19,glutaraldehyde,37,17,15,2,0,3,17,-5.67,30.07,
A19_8_hexanal,A19,hexanal,35,31,3,0,0,1,31,-6.09,31.952,6.0
A19_9_2-hydroxypropionaldehyde,A19,2-hydroxypropionaldehyde,45,11,12,10,2,10,11,-5.92,4.621,
A19_9_2-hydroxypropionaldehyde,A19,2-hydroxypropionaldehyde,45,11,12,10,2,10,11,-5.92,4.826,
B1_10_4-guanidinobutyraldehyde,B1,4-guanidinobutyraldehyde,76,30,19,15,0,12,30,-5.89,,
B1_11_prop-2-enal,B1,prop-2-enal,62,32,16,10,0,4,32,-5.7,,
B1_12_prop-2-ynal,B1,prop-2-ynal,58,38,11,7,0,2,38,-5.43,,
B1_13_(2E)-but-2-enal,B1,(2E)-but-2-enal,73,39,20,9,0,5,39,-5.63,,
B1_14_trans-2-Hexenal,B1,trans-2-Hexenal,43,19,19,3,0,2,19,-6.54,,
B1_15_heptanal,B1,heptanal,67,37,14,4,7,5,37,-6.95,,7.0
B1_16_octanaldehyde,B1,octanaldehyde,92,50,21,5,9,7,50,-7.18,,8.0
B1_17_nonanal,B1,nonanal,113,50,30,25,0,8,50,-7.48,,9.0
B1_18_decanal,B1,decanal,103,62,19,5,8,9,62,-7.49,,10.0
B1_19_dodecanal,B1,dodecanal,155,94,26,11,14,10,94,-8.2,,12.0
B1_1_formaldehyde,B1,formaldehyde,9,1,5,1,0,2,1,-5.47,,1.0
B1_20_Citral,B1,Citral,127,81,27,11,3,5,81,-7.23,,
B1_22_trans-2-Octenal,B1,trans-2-Octenal,55,22,12,16,0,5,22,-5.99,,
B1_23_4-Hydroxynonenal,B1,4-Hydroxynonenal,124,66,38,12,0,8,66,-6.79,,
B1_24_Tetradecanal,B1,Tetradecanal,144,97,26,16,1,4,97,-8.3,,14.0
B1_25_hexadecanal,B1,hexadecanal,191,149,18,18,6,0,149,-8.23,,16.0
